SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
ssa,1,t0,1,11,0,3,1,1,0,1,6,2,2,1,244600000,696472,916
ssa,_,"-""-",-,-,1,3,0,1,0,1,6,1,1,0,220300000,696472,771
ssa,_,"-""-",-,-,2,3,1,1,0,1,6,2,2,1,265400000,696472,857
ssa,_,"-""-",-,-,3,3,1,1,0,1,6,2,2,1,336400000,696472,919
ssa,_,"-""-",-,-,4,3,1,2,0,1,6,3,3,1,345900000,696472,1109
ssa,_,"-""-",-,-,5,3,1,1,0,1,6,2,2,1,255300000,696472,969
ssa,_,"-""-",-,-,6,3,2,3,0,2,12,5,5,2,366200000,696472,1291
ssa,_,"-""-",-,-,7,3,4,1,0,2,12,5,5,4,444600000,696472,1404
ssa,_,"-""-",-,-,8,3,6,1,0,3,18,7,7,6,660400000,696472,1739
ssa,_,"-""-",-,-,9,4,2,3,0,2,16,6,5,2,335800000,696472,1204
ssa,_,"-""-",-,-,10,6,3,2,0,2,24,7,5,3,456000000,696472,1354
ssa,2,t1,1,14,0,4,1,3,1,1,12,2,2,1,346800000,1127088,1184
ssa,_,"-""-",-,-,1,4,4,2,1,2,20,4,4,4,493200000,1127088,1423
ssa,_,"-""-",-,-,2,4,3,2,1,2,20,3,3,3,517300000,1127088,1392
ssa,_,"-""-",-,-,3,4,2,2,1,1,12,2,2,2,365500000,1127088,1138
ssa,_,"-""-",-,-,4,4,2,2,1,1,12,2,2,2,486600000,1127088,1079
ssa,_,"-""-",-,-,5,4,2,0,1,0,4,2,2,2,271000000,1127088,926
ssa,_,"-""-",-,-,6,4,2,0,1,0,4,2,2,2,240100000,1127088,877
ssa,_,"-""-",-,-,7,4,2,0,1,0,4,2,2,2,226500000,1127088,871
ssa,_,"-""-",-,-,8,3,2,0,1,0,3,2,2,2,222200000,1127088,817
ssa,_,"-""-",-,-,9,3,0,0,1,0,0,0,0,0,113900000,1127088,526
ssa,_,"-""-",-,-,10,6,3,3,1,1,18,3,3,3,766700000,1127088,1512
ssa,_,"-""-",-,-,11,4,3,3,1,1,12,4,3,3,421500000,1127088,1427
ssa,_,"-""-",-,-,12,5,0,0,1,1,10,0,0,0,248000000,1127088,817
ssa,_,"-""-",-,-,13,4,4,3,1,3,28,5,5,4,555600000,1127088,1637
